game_date,season_start,gameId,personId,player_name,playerteamName,opponentteamName,starter_label,primary_position,actual_numMinutes,fantasy_points,fantasy_points_roll_10,fantasy_points_z_5_vs_30
2023-12-08 20:00:00,2023,22301220,1629130,Duncan Robinson,Heat,Cavaliers,Starter,Forward,23.0,-3.5,25.74,0.8523837552400716
2024-01-03 22:00:00,2023,22300475,1629629,Cam Reddish,Lakers,Heat,Starter,Forward,18.0,-2.5,16.240000000000002,-0.010175664746487
2025-01-29 22:00:00,2024,22400673,1642366,Quinten Post,Warriors,Thunder,Starter,Center,8.08,-2.0,13.4375,0.6326778732733278
2023-12-13 21:00:00,2023,22300318,1641718,Keyonte George,Jazz,Knicks,Starter,Guard,3.0,-2.0,27.73,0.7318967987364045
2026-03-12 19:30:00,2025,22500957,1631172,Ousmane Dieng,Bucks,Heat,Starter,Forward,13.58,-1.0,18.04,0.7939899983592852
2022-11-07 21:45:00,2022,22200155,201580,JaVale McGee,Mavericks,Nets,Starter,Center,3.0,-1.0,12.6,-0.9460399046015336
2026-01-27 21:00:00,2025,22500669,1642962,Drake Powell,Nets,Suns,Starter,Forward,8.28,-1.0,11.62,0.0458487077896426
2024-12-19 20:00:00,2024,22400366,203110,Draymond Green,Warriors,Grizzlies,Starter,Forward,19.04,-1.0,29.630000000000003,-0.1410067595358358
2022-11-30 21:00:00,2022,22200320,201569,Eric Gordon,Rockets,Nuggets,Starter,Guard,18.0,-1.0,20.1,0.3885796372206143
2025-03-17 20:00:00,2024,22400987,1630530,Trey Murphy III,Pelicans,Pistons,Starter,Forward,0.49,-1.0,31.98,-0.9497350124933356
2023-02-13 19:00:00,2022,22200860,200782,P.J. Tucker,76ers,Rockets,Starter,Forward,6.0,-1.0,9.669999999999998,0.1861201764140211
2023-12-02 20:00:00,2023,22300284,1629312,Haywood Highsmith,Heat,Pacers,Starter,Forward,2.0,-1.0,16.500000000000004,0.2992460215034463
2024-12-19 19:30:00,2024,22400364,1630553,Keon Johnson,Nets,Raptors,Starter,Guard,8.11,-0.8,16.130000000000003,0.4500550150896161
2025-10-23 19:30:00,2025,22500005,1630543,Isaiah Jackson,Pacers,Thunder,Starter,Forward,8.29,-0.8,17.16,0.43002543031333
2022-12-02 19:00:00,2022,22200326,1630166,Deni Avdija,Wizards,Hornets,Starter,Forward,8.0,-0.8,26.75,0.5259471222506878
2025-11-30 15:00:00,2025,22500301,1641718,Keyonte George,Jazz,Rockets,Starter,Guard,19.08,-0.7999999999999998,40.67,0.9521880011647412
2025-02-05 19:30:00,2024,22400721,1629130,Duncan Robinson,Heat,76ers,Starter,Forward,20.14,-0.5,21.43,-0.0207587248733141
2025-04-03 19:30:00,2024,22401113,1626156,D'Angelo Russell,Nets,Timberwolves,Starter,Guard,12.37,-0.5,28.360000000000003,0.0609527904067753
2024-01-14 19:00:00,2023,22300552,1641748,Andre Jackson Jr.,Bucks,Kings,Starter,Guard,10.0,-0.5,9.14,0.8205884302270163
2022-12-10 20:00:00,2022,22200391,1627827,Dorian Finney-Smith,Mavericks,Bulls,Starter,Forward,20.0,-0.5,20.92,-0.2528346485586089
2023-11-22 19:00:00,2023,22300226,1641710,Anthony Black,Magic,Nuggets,Starter,Guard,15.0,-0.2999999999999998,14.08888888888889,0.042850504424625
