feature,train_missing_rate,train_abs_target_corr,train_target_corr,train_non_missing_rows
team_turnovers_momentum_10_vs_30,0.3381727907248788,0.005791088616728438,-0.005791088616728438,50919
opp_assists_allowed_roll_10,0.3381727907248788,0.005781338500996884,0.005781338500996884,50919
pace_momentum_10_vs_30,0.010632075594317428,0.0057481044149001615,-0.0057481044149001615,76119
opp_pointsFromTurnovers_allowed_momentum_10_vs_30,0.3381727907248788,0.005747140330043786,0.005747140330043786,50919
team_defensiveRating_roll_5,0.3381727907248788,0.005586136281564937,0.005586136281564937,50919
opp_assists_allowed_momentum_5_vs_10,0.3381727907248788,0.00551509543602005,0.00551509543602005,50919
opp_trueShootingPercentage_allowed_momentum_5_vs_10,0.3381727907248788,0.005492538713542078,0.005492538713542078,50919
team_pointsFromTurnovers_momentum_10_vs_30,0.34272196732391436,0.005473872703570759,-0.005473872703570759,50569
team_offensiveRating_z_5_vs_30,0.3381727907248788,0.00539526602275856,0.00539526602275856,50919
team_reboundsTotal_roll_5,0.3381727907248788,0.005328309983037438,0.005328309983037438,50919
team_effectiveFieldGoalPercentage_z_5_vs_30,0.3381727907248788,0.005257534384034499,0.005257534384034499,50919
opp_pointsFromTurnovers_allowed_z_10_vs_30,0.3381727907248788,0.005254144666251909,0.005254144666251909,50919
opp_pos_fp_allowed_per_player_momentum_3_vs_10,0.34243601908054644,0.005177426115412284,0.005177426115412284,50591
team_win_momentum_5_vs_10,0.3381727907248788,0.005166170159338941,-0.005166170159338941,50919
opp_steals_z_5_vs_30,0.3381727907248788,0.00513368360360362,-0.00513368360360362,50919
team_points_allowed_std_30,0.3381727907248788,0.00512760621020153,-0.00512760621020153,50919
team_win_roll_30,0.3381727907248788,0.005126456710873353,0.005126456710873353,50919
team_threePointersPercentage_momentum_5_vs_10,0.3381727907248788,0.005047619398592181,0.005047619398592181,50919
team_pace_momentum_10_vs_30,0.3381727907248788,0.005040742329502815,-0.005040742329502815,50919
opp_steals_roll_30,0.3381727907248788,0.004981620186056294,-0.004981620186056294,50919
opp_pos_player_count_z_10_vs_30,0.3486878874923639,0.004965364322266174,-0.004965364322266174,50110
team_pointsSecondChance_roll_30,0.3424100237856948,0.004947662138532368,0.004947662138532368,50593
defensiveRating_momentum_5_vs_10,0.010632075594317428,0.004900765317589658,0.004900765317589658,76119
team_effectiveFieldGoalPercentage_roll_30,0.3381727907248788,0.004896580109120734,-0.004896580109120734,50919
